time,volume,mid_open,mid_high,mid_low,mid_close,bid_close,ask_close,spread
2026-05-06 14:00:00+00:00,12698,1.17515,1.1763,1.1745,1.17552,1.17545,1.17559,0.00013999999999980695
2026-05-06 15:00:00+00:00,8167,1.17551,1.17588,1.17487,1.17528,1.1752,1.17535,0.00014999999999987246
2026-05-06 16:00:00+00:00,6117,1.17527,1.17534,1.17418,1.17444,1.17436,1.17453,0.00017000000000000348
2026-05-06 17:00:00+00:00,5281,1.17444,1.17556,1.17429,1.17482,1.17473,1.1749,0.00017000000000000348
2026-05-06 18:00:00+00:00,4196,1.17483,1.17516,1.17448,1.17494,1.17486,1.17502,0.00015999999999993797
2026-05-06 19:00:00+00:00,4618,1.17493,1.17556,1.17475,1.17477,1.17469,1.17485,0.00015999999999993797
2026-05-06 20:00:00+00:00,2444,1.17478,1.17506,1.17449,1.17484,1.17476,1.17493,0.00017000000000000348
2026-05-06 21:00:00+00:00,916,1.17463,1.17504,1.17454,1.17503,1.17486,1.1752,0.00034000000000000696
2026-05-06 22:00:00+00:00,999,1.17504,1.17516,1.17494,1.17507,1.17499,1.17515,0.00015999999999993797
2026-05-06 23:00:00+00:00,1088,1.17507,1.17522,1.17465,1.1748,1.17472,1.17488,0.00015999999999993797
2026-05-07 00:00:00+00:00,6383,1.17478,1.17542,1.17468,1.17486,1.17478,1.17495,0.00017000000000000348
2026-05-07 01:00:00+00:00,6462,1.17487,1.17634,1.17466,1.17592,1.17583,1.176,0.00017000000000000348
2026-05-07 02:00:00+00:00,3321,1.1759,1.1761,1.17547,1.17566,1.17557,1.17574,0.00017000000000000348
2026-05-07 03:00:00+00:00,2799,1.17565,1.17566,1.17488,1.17488,1.17481,1.17496,0.0001500000000000945
2026-05-07 04:00:00+00:00,2283,1.17489,1.17536,1.17478,1.17508,1.17501,1.17516,0.00014999999999987246
2026-05-07 05:00:00+00:00,2975,1.17509,1.17538,1.175,1.17519,1.17511,1.17527,0.00015999999999993797
2026-05-07 06:00:00+00:00,6946,1.17518,1.17569,1.1745,1.17481,1.17473,1.17489,0.00015999999999993797
2026-05-07 07:00:00+00:00,11713,1.1748,1.17686,1.1748,1.17668,1.1766,1.17675,0.00014999999999987246
2026-05-07 08:00:00+00:00,7613,1.17669,1.17742,1.17631,1.17718,1.17709,1.17726,0.00017000000000000348
2026-05-07 09:00:00+00:00,6307,1.17718,1.17784,1.17658,1.17704,1.17696,1.17712,0.00015999999999993797
2026-05-07 10:00:00+00:00,6588,1.17704,1.17762,1.1765,1.17671,1.17664,1.17678,0.000140000000000029
2026-05-07 11:00:00+00:00,5674,1.17673,1.17704,1.17624,1.177,1.17692,1.17708,0.00015999999999993797
2026-05-07 12:00:00+00:00,7217,1.177,1.1778,1.17672,1.1773,1.17723,1.17737,0.000140000000000029
2026-05-07 13:00:00+00:00,10221,1.17729,1.17772,1.17666,1.17686,1.17677,1.17695,0.00017999999999984695
2026-05-07 14:00:00+00:00,9732,1.17685,1.17774,1.1764,1.17758,1.17751,1.17766,0.00014999999999987246
2026-05-07 15:00:00+00:00,10114,1.17759,1.1778,1.17631,1.17637,1.17629,1.17645,0.00015999999999993797
2026-05-07 16:00:00+00:00,8625,1.1764,1.1766,1.17565,1.17604,1.17597,1.17612,0.0001500000000000945
2026-05-07 17:00:00+00:00,12251,1.17607,1.1761,1.17358,1.1749,1.17481,1.17498,0.00017000000000000348
2026-05-07 18:00:00+00:00,10558,1.1749,1.17521,1.17398,1.17502,1.17493,1.1751,0.00017000000000000348
2026-05-07 19:00:00+00:00,10803,1.17502,1.17544,1.17335,1.17337,1.17328,1.17346,0.00017999999999984695
2026-05-07 20:00:00+00:00,6197,1.17337,1.17449,1.17224,1.17237,1.17229,1.17245,0.00015999999999993797
2026-05-07 21:00:00+00:00,952,1.17282,1.1731,1.17249,1.17272,1.17259,1.17286,0.00026999999999999247
2026-05-07 22:00:00+00:00,3254,1.17274,1.1732,1.17232,1.17253,1.17244,1.17262,0.000180000000000069
2026-05-07 23:00:00+00:00,1520,1.17252,1.17317,1.17246,1.17307,1.17299,1.17315,0.00015999999999993797
2026-05-08 00:00:00+00:00,5585,1.17308,1.17348,1.17266,1.1727,1.17261,1.17278,0.00017000000000000348
2026-05-08 01:00:00+00:00,4383,1.17271,1.17337,1.17271,1.17326,1.17318,1.17334,0.00016000000000016001
2026-05-08 02:00:00+00:00,3821,1.17326,1.17326,1.17246,1.17276,1.17268,1.17284,0.00016000000000016001
2026-05-08 03:00:00+00:00,2784,1.17278,1.17338,1.1727,1.17284,1.17276,1.17293,0.00017000000000000348
2026-05-08 04:00:00+00:00,3024,1.17285,1.1736,1.1727,1.17354,1.17345,1.17362,0.00017000000000000348
2026-05-08 05:00:00+00:00,3491,1.17355,1.17388,1.1733,1.17372,1.17364,1.17381,0.00017000000000000348
2026-05-08 06:00:00+00:00,6001,1.17373,1.17484,1.17372,1.17444,1.17436,1.17452,0.00015999999999993797
2026-05-08 07:00:00+00:00,6176,1.17444,1.17481,1.17418,1.17432,1.17423,1.1744,0.00017000000000000348
2026-05-08 08:00:00+00:00,6706,1.17431,1.17659,1.1742,1.1764,1.17632,1.17647,0.00014999999999987246
2026-05-08 09:00:00+00:00,5640,1.1764,1.17736,1.17634,1.1769,1.17681,1.17698,0.00017000000000000348
2026-05-08 10:00:00+00:00,4752,1.1769,1.17726,1.17614,1.1764,1.17632,1.17648,0.00015999999999993797
2026-05-08 11:00:00+00:00,4690,1.17641,1.1769,1.1762,1.17652,1.17645,1.1766,0.0001500000000000945
2026-05-08 12:00:00+00:00,12867,1.17655,1.17788,1.17576,1.17741,1.17733,1.17749,0.00015999999999993797
2026-05-08 13:00:00+00:00,11482,1.1774,1.17872,1.17664,1.17789,1.1778,1.17798,0.000180000000000069
2026-05-08 14:00:00+00:00,10318,1.17791,1.17797,1.17673,1.17744,1.17737,1.17752,0.00014999999999987246
2026-05-08 15:00:00+00:00,8553,1.17745,1.17786,1.1767,1.17728,1.1772,1.17737,0.00017000000000000348
2026-05-08 16:00:00+00:00,4692,1.17728,1.17786,1.17708,1.17712,1.17705,1.17719,0.000140000000000029
2026-05-08 17:00:00+00:00,3132,1.17712,1.17763,1.17706,1.17724,1.17717,1.17731,0.000140000000000029
2026-05-08 18:00:00+00:00,5062,1.17723,1.17818,1.17708,1.17786,1.17778,1.17795,0.00017000000000000348
2026-05-08 19:00:00+00:00,3764,1.17786,1.17832,1.1777,1.17802,1.17795,1.1781,0.00014999999999987246
2026-05-08 20:00:00+00:00,2514,1.17803,1.17881,1.1779,1.17852,1.17838,1.17865,0.00026999999999999247
2026-05-10 21:00:00+00:00,1582,1.17524,1.17711,1.17483,1.1763,1.1758,1.1768,0.001000000000000112
2026-05-10 22:00:00+00:00,2946,1.17606,1.17664,1.17578,1.1764,1.17632,1.17649,0.00017000000000000348
2026-05-10 23:00:00+00:00,1791,1.1764,1.17701,1.17638,1.17674,1.17666,1.17682,0.00015999999999993797
2026-05-11 00:00:00+00:00,4540,1.17674,1.17721,1.17657,1.177,1.17692,1.17708,0.00015999999999993797
2026-05-11 01:00:00+00:00,4555,1.177,1.17712,1.17618,1.17628,1.17621,1.17636,0.0001500000000000945
2026-05-11 02:00:00+00:00,2701,1.1763,1.17663,1.1759,1.17594,1.17586,1.17601,0.0001500000000000945
2026-05-11 03:00:00+00:00,2170,1.17592,1.17593,1.17562,1.17567,1.17559,1.17575,0.00016000000000016001
2026-05-11 04:00:00+00:00,1673,1.17566,1.17574,1.17502,1.17506,1.17498,1.17515,0.00017000000000000348
2026-05-11 05:00:00+00:00,2334,1.17504,1.17548,1.17488,1.175,1.17492,1.17509,0.00017000000000000348
2026-05-11 06:00:00+00:00,4716,1.175,1.17682,1.175,1.17676,1.17668,1.17683,0.0001500000000000945
2026-05-11 07:00:00+00:00,5443,1.17676,1.17748,1.17647,1.1772,1.17712,1.17728,0.00016000000000016001
2026-05-11 08:00:00+00:00,5355,1.17722,1.17823,1.17714,1.17714,1.17706,1.17723,0.00017000000000000348
2026-05-11 09:00:00+00:00,3511,1.17714,1.17746,1.17674,1.17675,1.17666,1.17684,0.000180000000000069
2026-05-11 10:00:00+00:00,4203,1.17674,1.17742,1.17648,1.17691,1.17683,1.17699,0.00015999999999993797
2026-05-11 11:00:00+00:00,4888,1.17692,1.17747,1.17635,1.17684,1.17676,1.17693,0.00017000000000000348
2026-05-11 12:00:00+00:00,6568,1.17685,1.17747,1.17644,1.17745,1.17737,1.17753,0.00015999999999993797
2026-05-11 13:00:00+00:00,7912,1.17747,1.17878,1.17744,1.17852,1.17844,1.1786,0.00016000000000016001
2026-05-11 14:00:00+00:00,8747,1.17852,1.17878,1.1779,1.17794,1.17787,1.17802,0.0001500000000000945
2026-05-11 15:00:00+00:00,7093,1.17793,1.17854,1.17768,1.178,1.17793,1.17808,0.0001500000000000945
2026-05-11 16:00:00+00:00,4347,1.17801,1.17806,1.17724,1.17733,1.17726,1.1774,0.000140000000000029
2026-05-11 17:00:00+00:00,3632,1.17734,1.17786,1.1771,1.1778,1.17773,1.17788,0.0001500000000000945
2026-05-11 18:00:00+00:00,2935,1.17781,1.17805,1.17745,1.1775,1.17742,1.17759,0.00017000000000000348
2026-05-11 19:00:00+00:00,2765,1.1775,1.1778,1.17745,1.17774,1.17767,1.17782,0.0001500000000000945
2026-05-11 20:00:00+00:00,2077,1.17775,1.1783,1.1774,1.17824,1.17815,1.17832,0.00017000000000000348
2026-05-11 21:00:00+00:00,1007,1.17814,1.17848,1.17804,1.17846,1.17836,1.17857,0.00020999999999982144
2026-05-11 22:00:00+00:00,897,1.17848,1.17878,1.17843,1.17853,1.17845,1.17861,0.00015999999999993797
2026-05-11 23:00:00+00:00,1194,1.17854,1.17855,1.17773,1.17785,1.17777,1.17793,0.00015999999999993797
2026-05-12 00:00:00+00:00,3912,1.17784,1.17784,1.17663,1.17672,1.17664,1.17679,0.0001500000000000945
2026-05-12 01:00:00+00:00,6043,1.17672,1.17691,1.17577,1.17616,1.17608,1.17624,0.00015999999999993797
2026-05-12 02:00:00+00:00,3072,1.17616,1.17647,1.17595,1.17626,1.17618,1.17634,0.00015999999999993797
2026-05-12 03:00:00+00:00,2291,1.17624,1.1763,1.17547,1.17564,1.17555,1.17572,0.00017000000000000348
2026-05-12 04:00:00+00:00,2530,1.17564,1.17598,1.17556,1.17571,1.17563,1.17579,0.00015999999999993797
2026-05-12 05:00:00+00:00,4445,1.17572,1.17682,1.17523,1.17624,1.17616,1.17632,0.00015999999999993797
2026-05-12 06:00:00+00:00,6994,1.17626,1.17663,1.17497,1.17504,1.17495,1.17512,0.00017000000000000348
